HOLE_ID;FROM;TO;LENGTH;FE;SG;HORIZON;BLOCK_N;X;Y;Z
273_122_21;10.000;18.000;8.000;11.176;2.67;-35;N124;8565.237;3870.757;-28.924
273_124_21;10.000;18.000;8.000;37.136;3.34;-35;N124;8560.997;3875.558;-29.074
273_127_21;13.000;18.000;5.000;44.086;3.51;-35;N124;8554.233;3891.193;-30.666
273_206_21;15.500;16.000;0.500;27.874;3.04;-35;N124;8613.711;3820.951;-31.494
273_304_21;12.500;16.500;4.000;1.400;2.49;-35;N124;8625.352;3806.491;-30.058
273_310_21;13.500;15.000;1.500;33.994;3.20;-35;N124;8608.193;3837.316;-30.093
273_310_21;15.500;17.000;1.500;30.865;3.11;-35;N124;8608.193;3837.316;-32.093
273_312_21;12.500;16.000;3.500;40.702;3.41;-35;N124;8602.031;3847.049;-29.810
273_314_21;13.000;16.500;3.500;31.937;3.14;-35;N124;8594.117;3856.694;-30.277
273_316_21;11.000;17.500;6.500;42.953;3.47;-35;N124;8586.152;3865.876;-29.650
273_408_21;13.000;17.000;4.000;1.409;2.49;-35;N124;8628.965;3810.603;-30.444
273_409_21;12.000;16.000;4.000;24.111;2.95;-35;N124;8628.995;3817.378;-29.666
317_103_21;1.000;11.000;10.000;0.614;2.47;-35;N124;8626.172;3791.419;-32.268
317_105_21;0.000;11.000;11.000;12.426;2.71;-35;N124;8619.774;3801.123;-31.966
317_107_21;0.000;12.000;12.000;43.040;3.51;-35;N124;8613.600;3810.585;-32.271
317_109_21;0.000;11.500;11.500;35.102;3.25;-35;N124;8607.187;3820.586;-32.018
317_111_21;0.000;10.000;10.000;47.522;3.66;-35;N124;8598.822;3828.844;-30.901
317_113_21;0.000;11.500;11.500;51.501;3.81;-35;N124;8589.768;3837.254;-31.777
317_115_21;0.000;11.500;11.500;51.414;3.82;-35;N124;8580.846;3845.564;-32.072
317_117_21;0.000;11.500;11.500;57.472;4.03;-35;N124;8571.682;3853.260;-32.126
317_119_21;5.000;10.500;5.500;23.729;2.94;-35;N124;8563.162;3861.345;-34.040
317_121_21;0.000;11.000;11.000;27.167;3.02;-35;N124;8554.568;3869.610;-31.904
317_123_21;0.000;10.500;10.500;28.340;3.05;-35;N124;8546.056;3878.000;-31.658
124_155_22;0.000;7.500;7.500;31.387;3.17;-35;N124;8508.285;3944.849;-32.116
124_151_22;0.000;8.500;8.500;21.012;2.89;-35;N124;8513.897;3934.595;-32.570
124_147_22;0.000;8.500;8.500;29.276;3.08;-35;N124;8521.369;3925.250;-32.677
124_143_22;0.000;7.000;7.000;23.428;2.95;-35;N124;8527.662;3914.533;-31.915
124_139_22;0.000;6.000;6.000;32.163;3.18;-35;N124;8534.450;3904.696;-31.367
124_135_22;0.000;7.500;7.500;30.002;3.12;-35;N124;8541.792;3895.434;-32.276
124_131_22;0.000;8.000;8.000;52.965;3.87;-35;N124;8550.533;3886.913;-32.602
124_127_22;0.000;7.500;7.500;46.689;3.66;-35;N124;8557.635;3876.937;-31.992
124_123_22;0.000;6.000;6.000;24.449;2.98;-35;N124;8566.956;3870.254;-31.267
124_119_22;0.000;5.000;5.000;23.757;2.94;-35;N124;8576.058;3862.394;-31.240
124_115_22;0.000;5.500;5.500;16.788;2.78;-35;N124;8586.741;3851.298;-32.625
124_113_22;0.000;6.500;6.500;23.970;2.95;-35;N124;8593.554;3841.368;-33.080
124_111_22;0.000;6.500;6.500;39.228;3.36;-35;N124;8602.393;3833.455;-32.824
124_109_22;0.000;7.500;7.500;24.715;2.96;-35;N124;8610.940;3824.975;-33.126
124_107_22;0.000;5.500;5.500;29.003;3.10;-35;N124;8617.492;3815.066;-32.158
124_106_22;0.000;7.500;7.500;26.437;3.00;-35;N124;8620.678;3810.219;-33.398
124_105_22;0.000;7.500;7.500;1.589;2.49;-35;N124;8624.056;3805.131;-33.489
124_205_22;0.000;8.000;8.000;3.127;2.52;-35;N124;8629.799;3805.390;-33.683
124_206_22;0.000;1.000;1.000;6.860;2.58;-35;N124;8626.303;3810.960;-30.230
124_206_22;1.500;7.000;5.500;20.861;2.87;-35;N124;8626.303;3810.960;-33.730
124_208_22;0.000;7.500;7.500;25.802;2.99;-35;N124;8619.859;3821.064;-33.040
124_210_22;0.000;6.500;6.500;24.565;2.95;-35;N124;8612.575;3830.081;-32.769
124_212_22;0.000;6.000;6.000;34.382;3.22;-35;N124;8604.042;3838.613;-32.542
124_214_22;0.000;8.000;8.000;31.087;3.13;-35;N124;8595.499;3846.666;-33.772
124_216_22;0.000;7.500;7.500;15.067;2.76;-35;N124;8587.343;3855.556;-33.407
124_218_22;0.000;6.500;6.500;21.606;2.89;-35;N124;8579.322;3865.815;-32.386
124_220_22;0.000;7.000;7.000;31.484;3.14;-35;N124;8570.364;3873.200;-31.628
124_222_22;0.000;8.000;8.000;26.792;3.02;-35;N124;8561.197;3880.845;-32.332
124_224_22;0.000;6.500;6.500;45.084;3.56;-35;N124;8554.298;3890.261;-31.619
124_226_22;0.000;8.000;8.000;29.939;3.09;-35;N124;8545.689;3898.625;-32.503
124_228_22;0.000;6.500;6.500;28.700;3.06;-35;N124;8538.492;3907.830;-31.700
124_230_22;0.000;5.500;5.500;30.263;3.11;-35;N124;8531.562;3917.662;-31.311
124_232_22;0.000;8.000;8.000;30.686;3.11;-35;N124;8525.532;3927.760;-32.300
124_234_22;0.000;7.000;7.000;28.954;3.07;-35;N124;8518.627;3937.607;-31.721
124_334_22;0.000;7.000;7.000;33.522;3.19;-35;N124;8520.391;3942.561;-31.579
124_331_22;0.000;7.500;7.500;27.837;3.04;-35;N124;8530.458;3928.629;-32.000
124_328_22;0.000;5.000;5.000;26.794;3.01;-35;N124;8540.538;3913.917;-30.933
124_328_22;5.500;8.000;2.500;31.782;3.14;-35;N124;8540.538;3913.917;-34.933
124_325_22;0.000;8.000;8.000;35.866;3.26;-35;N124;8551.753;3899.464;-32.205
124_322_22;0.000;8.000;8.000;39.749;3.37;-35;N124;8564.664;3885.812;-32.607
124_319_22;0.000;3.500;3.500;39.983;3.38;-35;N124;8578.121;3874.192;-31.295
124_316_22;0.000;7.000;7.000;43.058;3.48;-35;N124;8589.549;3861.426;-33.216
124_313_22;0.000;1.000;1.000;43.695;3.50;-35;N124;8601.815;3848.191;-30.350
124_313_22;1.500;6.000;4.500;32.412;3.16;-35;N124;8601.815;3848.191;-33.600
124_310_22;0.000;7.500;7.500;32.838;3.17;-35;N124;8614.698;3835.548;-32.750
124_309_22;0.000;6.500;6.500;26.482;3.00;-35;N124;8618.823;3831.335;-32.555
124_306_22;0.000;8.000;8.000;25.590;3.00;-35;N124;8628.730;3816.388;-33.334
124_305_22;0.000;7.500;7.500;6.313;2.58;-35;N124;8632.108;3811.466;-33.272
124_405_22;0.500;7.000;6.500;0.965;2.48;-35;N124;8638.258;3811.521;-33.367
124_406_22;0.000;7.000;7.000;13.622;2.72;-35;N124;8635.100;3816.752;-33.077
124_407_22;0.000;7.000;7.000;18.070;2.81;-35;N124;8631.680;3821.613;-32.953
124_409_22;0.000;7.500;7.500;22.917;2.92;-35;N124;8625.302;3831.523;-32.792
124_412_22;0.000;7.000;7.000;23.531;2.93;-35;N124;8612.736;3844.823;-32.500
124_415_22;0.000;8.000;8.000;23.333;2.93;-35;N124;8599.535;3857.782;-33.525
124_418_22;0.000;8.000;8.000;38.036;3.32;-35;N124;8588.338;3871.050;-33.648
124_421_22;0.000;6.000;6.000;35.238;3.24;-35;N124;8575.014;3882.429;-32.046
124_424_22;0.000;7.500;7.500;33.276;3.18;-35;N124;8562.133;3896.441;-32.365
124_427_22;0.000;8.500;8.500;39.478;3.36;-35;N124;8550.075;3909.823;-32.654
124_430_22;0.000;7.000;7.000;33.771;3.19;-35;N124;8539.055;3924.044;-31.901
124_433_22;0.000;3.000;3.000;31.252;3.12;-35;N124;8529.779;3938.619;-29.842
124_433_22;3.500;7.500;4.000;31.851;3.14;-35;N124;8529.779;3938.619;-33.592
124_435_22;0.000;6.500;6.500;43.288;3.49;-35;N124;8522.741;3949.486;-31.035
124_533_22;0.000;7.000;7.000;33.000;3.18;-35;N124;8532.295;3944.522;-31.381
124_530_22;0.000;7.000;7.000;25.466;2.98;-35;N124;8542.519;3929.783;-31.757
124_527_22;0.000;6.000;6.000;9.678;2.64;-35;N124;8551.860;3915.418;-31.495
124_526_22;0.000;7.500;7.500;20.755;2.87;-35;N124;8556.000;3910.358;-32.485
124_523_22;0.000;6.500;6.500;31.161;3.13;-35;N124;8567.767;3896.925;-32.198
124_521_22;0.000;7.000;7.000;36.799;3.28;-35;N124;8575.749;3888.225;-32.429
124_518_22;0.000;2.500;2.500;28.340;3.05;-35;N124;8589.300;3875.942;-30.815
124_518_22;3.000;7.000;4.000;36.827;3.28;-35;N124;8589.300;3875.942;-34.315
124_515_22;0.000;6.500;6.500;38.081;3.32;-35;N124;8601.080;3862.720;-32.698
124_512_22;0.000;6.500;6.500;27.900;3.04;-35;N124;8613.705;3850.122;-32.146
124_510_22;0.000;7.000;7.000;19.529;2.85;-35;N124;8622.242;3841.732;-31.947
124_508_22;0.000;3.000;3.000;17.538;2.80;-35;N124;8629.721;3832.465;-30.826
124_508_22;3.500;7.000;3.500;29.046;3.07;-35;N124;8629.721;3832.465;-34.326
124_507_22;0.000;5.000;5.000;27.923;3.06;-35;N124;8633.588;3827.735;-32.202
124_506_22;0.500;7.500;7.000;18.624;2.84;-35;N124;8637.017;3822.823;-33.672
124_505_22;0.000;7.000;7.000;6.119;2.57;-35;N124;8640.093;3817.987;-33.333
124_618_22;0.000;7.000;7.000;32.972;3.18;-35;N124;8592.379;3881.025;-32.968
124_621_22;0.000;4.000;4.000;32.569;3.16;-35;N124;8578.014;3893.242;-30.992
124_621_22;4.500;7.500;3.000;26.978;3.01;-35;N124;8578.014;3893.242;-34.742
124_626_22;0.000;6.500;6.500;26.835;3.01;-35;N124;8557.435;3916.194;-32.065
124_633_22;0.000;0.500;0.500;43.540;3.49;-35;N124;8534.377;3950.807;-28.138
124_301_22;0.000;7.000;7.000;;;-35;N124;8644.080;3790.481;-33.341
